Endereço de e-mail,Var_numero_alunos,Var_aa_subidas,Var_aa_intera,Var_conteudos_subidas,Var_conteudos_intera,Q total,Q dis,Q curtas,Q total banco,Q banco discu,Rela AA,Rela SE,Rela Caderno,Rela AD,Rela mensal
amanda,Concordo plenamente,Discordo,Concordo,Discordo,Concordo,Concordo plenamente,Concordo,Discordo,Discordo plenamente,Discordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente
magnum.santos,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Concordo,Neutro,Neutro,Neutro,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo,Neutro
cassiano,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo plenamente,Discordo,Concordo,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Neutro,Discordo
alexandre,Concordo,Concordo,Neutro,Concordo,Neutro,Neutro,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo plenamente
manuela.casellatto,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Concordo,Neutro,Neutro,Concordo,Neutro
fernanda.pereira,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo plenamente,Concordo,Concordo,Discordo,Neutro,Discordo,Neutro,Discordo
marcos.rocha,Neutro,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo,Discordo,Concordo,Neutro,Concordo plenamente,Neutro,Concordo,Neutro,Discordo
fernanda.moreira,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo plenamente,Concordo,Concordo,Concordo plenamente,Concordo,Concordo plenamente,Concordo,Concordo
leonardo,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Neutro,Concordo plenamente,Neutro,Concordo plenamente,Concordo plenamente,Concordo plenamente,Discordo,Neutro
joana,Concordo plenamente,Concordo,Concordo plenamente,Concordo,Concordo plenamente,Concordo,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo plenamente,Concordo